Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
FB,6/25/13,M,2,43,,15,40,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,6/25/13,M,3,30,,10,55,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,
FB,6/25/13,M,4,67,,15,15,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
FB,6/25/13,M,5,75,,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,6/25/13,M,6,75,,20,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
FB,6/25/13,M,7,70,,20,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
FB,6/25/13,M,8,89,,3,3,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,
FB,6/25/13,M,9,40,,15,30,5,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,
FB,6/25/13,M,10,70,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,6/24/13,M,1,50,,20,20,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
TC,6/24/13,M,2,38,,50,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
TC,6/24/13,M,3,48,,40,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
TC,6/24/13,M,4,47,,5,45,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
TC,6/24/13,M,5,17,,35,45,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
TC,6/24/13,M,6,17,,50,30,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,
TC,6/24/13,M,7,26,,25,40,,,,,,,,,,,,,,,,,,5,,3,,,,,,,1,,
TC,6/24/13,M,8,38,,15,45,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,6/24/13,M,9,65,,10,5,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
TC,6/24/13,M,10,55,,35,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,
