Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
AC,7/10/13,M,10,23,,45,2,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
FB,7/8/13,M,1,50,,25,,,,,,,10,,,,,,,,,,,,,15,,,,,,,,,,
FB,7/8/13,M,2,45,,40,5,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,
FB,7/8/13,M,3,52,,15,30,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
FB,7/8/13,M,4,56,,10,30,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
FB,7/8/13,M,5,53,,15,30,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,7/8/13,M,6,74,,10,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,
FB,7/8/13,M,7,46,,35,5,,,,10,,,,,,,,,,,,,,1,3,,,,,,,,,,
FB,7/8/13,M,8,78,,5,15,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
FB,7/8/13,M,9,44,,15,20,5,,,10,,,,,,,,,,,3,,,1,,2,,,,,,,,,
FB,7/8/13,M,10,71,,10,15,,,,,,,,,,,,,,,2,,,1,,1,,,,,,,,,
TC,7/9/13,M,1,65,,10,15,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
TC,7/9/13,M,2,75,,10,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,7/9/13,M,3,52,,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
TC,7/9/13,M,4,41,,15,40,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
TC,7/9/13,M,5,63,,15,20,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,7/9/13,M,6,55,,15,25,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,7/9/13,M,7,17,,50,30,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
TC,7/9/13,M,8,67,,5,10,,,,,,,,,,,,,,,,,,15,,3,,,,,,,,,
TC,7/9/13,M,9,68,,5,5,,,,,,,,,,,,,,,,,,20,,2,,,,,,,,,
TC,7/9/13,M,10,55,,35,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
